p_id,age,female,ethnicity,grip,chest,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
PLH276,21,1,1,20,16,2,5,4,2,2,1,2,3,3,2,3,4,4,4,2,3
PLH277,19,0,5,38,36,1,2,3,2,2,5,2,5,1,5,4,5,4,4,1,4
PLH278,19,0,5,36,46,4,2,1,1,3,4,4,2,2,5,2,2,4,4,2,3
PLH279,20,0,5,46,40,3,4,2,3,4,4,4,3,2,1,4,4,2,4,2,1
PLH280,18,1,5,26,13,4,5,4,3,3,2,4,2,4,2,3,4,4,5,4,3
PLH281,21,0,5,25,36,2,2,2,2,4,4,4,4,3,2,1,2,3,3,5,4
PLH282,21,0,5,52.7,81,2,4,2,2,4,3,4,2,2,4,2,4,2,4,4,4
PLH283,18,1,5,16,17,2,5,2,5,4,3,5,5,2,4,5,4,1,4,2,1
PLH284,20,1,5,12,8,2,4,4,3,3,2,3,4,2,4,4,5,3,5,2,2
PLH285,19,0,5,49,77,2,4,2,2,4,2,4,4,2,2,2,4,2,1,5,4
PLH286,19,1,5,14,12,2,4,2,4,2,3,4,4,4,4,4,4,2,5,4,2
PLH287,26,0,5,30,29,2,5,1,1,4,1,5,2,2,1,2,2,4,5,4,4
PLH288,20,0,5,38,49,1,5,2,2,5,2,4,1,2,4,2,2,4,4,5,2
PLH289,23,0,5,29,32,2,4,2,4,4,1,4,5,2,2,2,3,4,5,4,4
PLH290,21,0,6,34,18,2,4,3,4,3,4,4,5,3,4,4,4,4,4,3,3
PLH291,18,0,1,36,28,2,4,2,2,3,2,4,4,2,4,2,4,4,4,4,3
PLH292,20,0,5,48,26,1,1,1,1,5,4,4,4,1,4,1,2,5,2,4,4
PLH293,21,0,5,41.5,46,2,4,4,2,4,2,4,2,4,3,4,4,2,4,2,2
PLH294,19,1,5,12,10,1,5,4,5,5,1,1,5,5,1,5,5,4,5,1,5
PLH295,20,1,5,22,24,2,2,3,4,4,2,4,4,2,5,1,4,5,3,5,2
PLH296,18,1,5,18,8,4,4,2,2,2,2,4,4,4,3,4,5,3,4,4,2
PLH297,20,0,5,34,44,2,4,3,3,4,3,5,4,2,5,4,4,3,4,2,3
PLH298,19,0,5,42,36,1,5,5,4,4,1,2,4,2,1,5,5,3,5,2,2
PLH299,19,0,7,29,19,4,4,3,4,2,2,4,4,3,4,5,4,2,3,4,2
