p_id,female,age,grip,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
206,1,19,26.68,4,5,4,5,3,3,4,5,3,3,4,5,4,5,3,5
207,1,20,24.5,4,5,4,4,3,4,3,4,5,5,4,5,3,4,3,5
208,1,21,8.66,4,5,4,4,5,5,5,5,4,2,5,5,5,4,4,5
209,1,19,9.05,4,5,3,2,3,5,4,4,4,5,5,5,3,5,2,3
210,1,18,9.5,5,5,5,3,3,5,5,5,3,5,5,5,4,5,5,4
211,0,19,41.36,2,4,4,1,4,2,2,2,3,5,3,4,4,2,2,3
212,0,18,19.09,2,4,4,2,3,4,3,3,2,4,4,3,2,4,4,2
213,1,18,24.32,5,5,4,4,4,4,3,4,4,2,4,5,4,5,4,4
214,0,NA,12.32,4,4,2,1,4,4,1,3,4,4,2,4,4,5,1,2
215,0,20,45,4,5,3,2,3,4,2,4,3,2,4,4,3,4,4,3
216,1,19,9.02,5,4,5,3,5,4,4,5,5,4,5,5,4,5,4,5
217,1,NA,26.91,4,5,4,4,5,4,4,3,5,5,3,4,5,5,2,4
218,1,19,26.59,2,5,4,5,3,5,4,4,3,4,4,5,4,5,4,5
219,0,20,32.95,4,5,4,3,4,5,4,5,4,5,4,4,4,5,2,4
220,1,19,25.41,4,4,3,4,4,5,4,5,4,4,4,5,5,5,5,5
221,0,22,39.45,3,4,4,4,5,3,4,3,3,2,4,3,3,3,5,3
222,0,19,33.41,4,5,4,5,4,4,3,3,4,1,5,4,4,5,4,4
223,1,19,13.09,5,5,4,2,5,5,4,3,4,4,4,5,5,5,4,3
224,0,19,37.95,2,4,2,2,4,5,2,2,4,4,4,3,3,5,3,3
225,0,19,38.45,2,5,4,3,2,4,2,4,2,1,4,4,4,4,4,3
226,0,19,47.86,5,5,4,3,3,5,4,5,5,4,4,5,5,5,2,4
227,1,19,19.95,5,1,3,3,5,5,4,5,4,5,5,5,5,5,3,3
228,0,20,39.18,2,5,4,2,2,4,3,3,3,5,4,4,3,4,2,5
229,1,19,19.68,5,5,2,4,4,5,3,4,4,5,1,2,4,5,1,2
230,0,19,14.98,4,5,5,5,2,5,2,2,2,2,5,4,5,5,4,5
231,1,18,10.8,4,2,2,1,4,1,2,2,4,1,2,3,2,4,1,2
232,0,23,30.45,1,2,1,1,4,4,1,5,1,2,2,2,1,3,1,1
233,1,18,24.45,4,5,3,4,4,5,2,4,2,2,4,4,3,5,3,5
235,1,20,24.41,3,4,4,2,2,5,2,4,2,2,4,4,2,4,2,2
236,1,19,32.95,2,4,4,4,2,2,2,4,2,3,3,5,5,5,2,4
237,1,18,7.5,5,5,4,4,4,5,4,5,4,4,4,5,4,5,1,4
238,1,NA,9.23,3,5,5,4,3,5,4,5,3,5,5,5,5,5,4,5
239,1,19,7.18,3,5,5,5,3,3,5,5,3,3,5,5,4,5,5,5
240,0,19,37.5,2,4,2,2,2,4,2,4,3,3,3,4,2,4,3,2
241,0,19,15.89,2,5,3,3,4,4,4,4,4,5,2,4,4,5,2,5
242,1,19,9,4,5,4,2,3,4,5,3,4,4,4,5,4,5,2,3
243,1,18,19.09,5,4,4,2,3,5,4,5,4,5,3,5,4,5,2,5
244,1,19,25.95,2,4,3,5,1,5,3,5,2,1,4,5,2,5,4,5
245,0,20,29.73,5,4,4,2,2,4,3,4,4,5,4,3,4,5,2,2
246,0,19,33.82,1,3,4,1,1,2,2,1,1,5,4,3,2,4,1,1
247,1,19,27.18,4,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5
248,0,18,47.23,4,4,4,4,4,4,2,4,3,5,4,2,3,5,4,2
249,0,19,37.77,4,4,5,3,3,4,4,4,4,5,5,5,5,4,5,5
250,1,18,5.91,4,5,4,2,4,5,3,4,4,5,5,5,4,5,3,3
251,0,19,35.23,1,2,4,1,2,4,3,3,2,5,3,1,3,1,5,4
252,1,18,18.91,5,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4
253,1,20,28.18,4,5,2,4,4,5,4,3,4,4,5,5,2,5,5,5
254,1,19,22.95,2,5,4,5,1,4,2,4,4,4,4,4,1,4,2,4
255,1,18,16.82,2,3,5,4,2,2,5,4,3,2,4,5,2,4,3,4
256,1,20,16.41,2,4,5,4,3,4,4,5,4,2,4,5,4,5,2,4
257,1,18,25,4,4,4,3,4,4,4,5,3,4,5,5,5,4,5,5
258,0,19,28.41,4,4,2,4,2,3,2,4,3,1,4,4,4,4,2,2
259,0,19,42.18,3,4,4,3,3,4,2,4,4,5,3,3,4,4,2,2
260,1,20,26.36,4,4,5,2,2,5,1,4,4,4,4,2,1,5,4,2
261,0,20,27.05,4,4,2,3,3,4,2,4,3,5,4,5,1,5,4,3
262,0,19,44.27,2,4,4,3,2,4,3,5,1,2,4,5,2,4,1,4
263,1,18,27.09,2,4,4,4,2,5,4,4,4,4,3,5,5,5,2,4
264,1,19,23.14,4,5,5,2,3,5,4,4,3,4,5,5,5,5,5,4
265,1,18,16.77,4,5,5,4,4,5,5,4,4,3,4,5,4,5,5,5
266,0,18,35.14,2,4,3,1,2,5,2,3,3,2,4,5,2,5,1,1
267,0,19,43.64,1,4,1,1,1,1,1,4,1,2,4,2,3,5,1,1
268,0,21,42.05,2,4,2,2,3,4,2,4,2,5,3,3,4,4,3,3
269,0,21,41.36,3,5,3,4,2,4,3,4,2,2,5,4,4,4,4,4
270,0,19,43.18,1,5,4,5,1,2,1,5,1,4,4,5,1,5,4,5
271,1,18,29.09,4,5,3,5,3,1,2,4,3,3,4,2,4,4,2,5
272,0,NA,34.05,3,4,4,2,4,3,2,4,4,4,4,4,4,4,2,3
273,0,18,37.82,2,5,2,2,3,4,2,2,4,4,4,5,2,5,2,4
274,0,20,44.77,4,3,4,2,5,1,2,4,5,1,3,4,2,3,4,2
275,0,21,20.14,3,4,4,4,4,4,3,4,3,4,5,5,2,5,4,5
276,1,19,20.91,4,5,4,4,2,5,4,4,3,4,5,5,2,5,5,5
277,1,21,24.09,2,5,4,4,4,4,2,4,4,3,4,5,2,4,4,4
278,0,19,41.59,2,5,5,2,2,5,2,4,4,5,4,5,4,5,1,2
279,1,20,26.14,2,4,5,5,2,4,5,5,3,5,4,4,1,5,2,4
280,1,19,35.32,4,4,4,4,2,1,4,4,3,3,4,4,3,4,4,2
281,1,19,21.45,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4
282,1,20,26.14,4,4,4,2,3,4,4,4,4,4,4,4,4,5,4,5
283,1,20,24.55,5,4,5,5,4,1,5,4,5,4,5,5,5,5,5,5
284,1,18,22.05,4,4,2,2,5,2,2,5,5,4,2,5,5,5,2,4
285,1,19,9.77,4,5,4,4,5,5,4,4,4,5,1,5,5,5,1,4
286,1,20,12.34,5,5,4,3,3,4,4,5,5,5,5,5,4,5,5,5
287,1,19,27.73,3,4,4,3,3,3,3,3,3,2,4,4,4,4,2,2
288,1,19,16.36,4,5,2,2,2,3,2,4,3,1,4,5,2,5,1,2
289,0,19,36.36,1,5,5,2,4,2,2,5,3,1,4,5,4,5,4,4
290,1,21,26.23,4,5,3,4,1,5,2,5,1,5,2,4,4,5,2,1
291,1,19,27.68,4,5,1,4,4,4,1,3,4,4,2,4,5,5,2,2
292,0,18,30.91,2,5,5,4,2,5,2,4,2,4,4,5,2,5,4,4
293,1,18,17.5,4,5,2,4,4,4,2,4,5,4,4,2,4,4,2,2
294,1,22,22.95,1,4,4,2,5,4,2,2,2,5,5,4,5,5,4,4
295,0,18,31.82,4,5,4,1,2,5,5,5,5,4,5,5,5,5,4,4
296,1,18,17.18,5,4,2,4,4,3,2,4,2,3,4,4,3,5,2,5
297,1,18,9.36,4,5,3,5,3,5,4,4,4,5,3,4,3,5,2,4
298,0,19,48.14,2,1,2,4,2,1,1,5,1,2,4,4,2,4,2,5
299,1,18,19.23,2,1,3,4,2,1,4,4,1,1,4,3,2,3,4,3
300,1,19,24.5,4,4,5,2,4,4,4,5,4,2,4,5,4,4,2,4
301,1,19,13.18,2,5,3,5,4,5,2,4,2,5,4,5,5,5,4,5
302,0,19,32.73,4,4,2,2,3,2,3,4,3,2,3,4,3,5,2,4
303,1,19,12.27,5,4,5,4,5,3,3,5,5,5,4,5,4,5,4,4
304,1,18,25.91,4,4,4,3,4,4,3,3,4,2,3,4,3,4,2,3
305,1,19,21,4,5,5,3,4,4,2,3,4,2,5,5,5,5,5,4
306,1,18,23.91,2,5,5,4,4,4,4,4,5,4,5,5,5,5,5,5
307,1,20,20.27,5,5,3,2,5,2,2,4,4,4,4,5,5,5,4,4
308,0,19,43.36,4,4,2,2,3,1,1,3,4,2,2,5,2,4,1,2
309,1,22,17.23,4,5,5,5,4,2,4,5,5,4,5,5,2,5,5,4
