p_id,age,female,ethnicity,grip,chest,e_anx_1,e_anx_2,e_anx_3,e_anx_4,e_anx_5,e_anx_6,e_anx_7,e_anx_8,e_anx_9,e_anx_10,e_dep_1,e_dep_2,e_dep_3,e_dep_4,e_dep_5,e_dep_6,e_dep_7,e_dep_8,e_dep_9,e_dep_10,e_fear_1,e_fear_2,e_fear_3,e_fear_4,e_fear_5,e_fear_6,e_fear_7,e_fear_8,e_fear_9,e_fear_10,e_sen_1,e_sen_2,e_sen_3,e_sen_4,e_sen_5,e_sen_6,e_sen_7,e_sen_8,e_sen_9,e_sen_10
102,18,0,1,38,12,3,6,6,6,2,2,2,5,5,6,3,4,5,4,5,3,7,5,1,5,5,2,2,2,6,3,5,1,3,4,6,6,4,6,4,5,6,6,2,5
129,20,0,1,46,39,1,6,4,1,1,2,3,7,6,3,6,1,5,1,2,2,2,4,3,7,2,1,6,1,1,1,3,3,1,6,5,1,1,6,3,7,7,5,1,5
142,18,0,1,44,40,2,2,1,3,2,6,5,4,4,5,2,2,3,4,4,3,5,3,3,5,5,2,6,3,2,3,4,3,2,3,3,4,1,3,3,7,7,4,5,7
168,19,0,1,38,56,5,7,5,6,1,2,2,7,3,2,5,3,2,1,2,2,5,2,4,6,1,3,3,1,1,5,5,5,3,6,6,6,1,5,3,7,6,2,3,6
119,19,0,1,46,51,6,6,2,6,2,3,3,2,6,3,2,5,2,1,1,5,5,1,2,7,2,3,2,2,1,3,4,1,4,5,3,3,2,1,3,6,2,6,3,6
165,19,0,1,38,40,7,2,3,1,3,6,3,2,3,1,4,2,3,1,3,2,5,4,2,5,1,3,1,5,6,5,5,4,3,5,2,2,2,2,2,2,5,2,3,5
169,18,0,5,40,32,5,7,7,7,6,1,5,3,2,1,7,7,7,5,6,3,7,3,3,7,2,5,7,3,4,3,3,5,1,6,3,3,4,4,1,4,2,6,2,2
117,18,0,5,37,40,1,3,5,5,2,4,4,4,4,3,5,3,3,5,2,2,4,3,2,5,3,3,4,3,4,4,4,4,3,5,5,2,4,6,4,4,6,5,3,4
130,19,0,1,44,50,7,6,6,6,4,2,4,3,4,1,6,2,6,3,5,2,4,5,2,6,1,5,5,2,3,5,5,4,5,6,4,4,3,5,5,3,3,2,3,4
137,23,0,5,56,48,6,5,5,4,5,2,5,5,5,2,6,4,4,4,5,3,5,5,4,4,4,5,6,3,1,3,4,3,3,3,6,6,5,6,2,4,2,2,3,3
139,18,0,8,32,25,5,7,4,5,1,2,2,5,6,1,6,4,4,3,2,6,7,2,3,5,1,1,1,1,1,5,7,5,6,6,7,5,1,6,6,7,7,1,1,2
143,19,0,1,43,45,3,3,5,5,3,5,4,4,4,6,6,4,6,3,3,2,5,3,5,7,4,3,5,4,3,4,6,4,5,6,6,5,1,6,6,7,3,1,2,3
153,18,0,1,38,32,7,7,6,4,3,2,4,6,6,1,6,7,7,1,2,1,2,3,5,7,5,3,7,3,1,1,3,1,1,4,6,1,5,7,6,3,2,3,2,5
